38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25368: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49061];[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25386: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49062];[Topic=rtms-stream-mylogs2][MessageFound=(labsz sshd25407: failed password for root from 192.1)][UserSearch=(failed password)][Partition=0 Offset=49063];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=49064];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=49065];,Mon  03 Mar 2025 02:37:55.5782 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48922];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48923];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48924];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48925];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48926];,Mon  03 Mar 2025 02:37:22.3141 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48478];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48479];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48480];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48481];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48482];,Mon  03 Mar 2025 02:36:08.4651 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48192];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48193];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48194];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48195];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=48196];,Mon  03 Mar 2025 02:34:41.4926 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47305];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47306];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47307];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47308];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47309];,Mon  03 Mar 2025 02:31:40.2261 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47155];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47156];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47157];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47158];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47159];,Mon  03 Mar 2025 02:30:55.7881 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47005];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47006];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47007];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47008];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=47009];,Mon  03 Mar 2025 02:30:25.0573 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46705];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46706];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46707];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46708];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46709];,Mon  03 Mar 2025 02:29:26.2600 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46425];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46426];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46427];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46428];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46429];,Mon  03 Mar 2025 02:28:15.0074 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46275];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46276];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46277];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46278];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46279];,Mon  03 Mar 2025 02:27:42.7388 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
38,5.13,rtms-stream-mylogs2,[Topic=rtms-stream-mylogs2][MessageFound=(2 labsz sshd25478: invalid user anonymous from 192.)(labsz sshd25474: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46129];[Topic=rtms-stream-mylogs2][MessageFound=(failed password for invalid user admin from 192.168.)(labsz sshd25484: failed password for invalid user ad)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46130];[Topic=rtms-stream-mylogs2][MessageFound=(5 labsz sshd25513: invalid user admin from 192.168.)(labsz sshd25508: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46131];[Topic=rtms-stream-mylogs2][MessageFound=(4 labsz sshd25527: invalid user test from 192.168.5)(labsz sshd25525: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46132];[Topic=rtms-stream-mylogs2][MessageFound=(sshd25539: invalid user user from 192.168.5)(labsz sshd25541: failed password for root from 192.1)][UserSearch=( invalid user)(failed password)][Partition=0 Offset=46133];,Mon  03 Mar 2025 02:27:24.7170 UTC,1.00,iot-preprocess,5.00, |invalid user:attack:failed password;{rtms-stream-mylogs2,/rawdata/rtms/rtms-stream-mylogs2_38.txt}
